date,cp
2013/7/3,2203.828
2013/7/4,2221.979
2013/7/5,2226.849
2013/7/8,2163.619
2013/7/9,2162.669
2013/7/10,2224.065
2013/7/11,2326.688
2013/7/12,2275.373
2013/7/15,2307.297
2013/7/16,2317.848
2013/7/17,2282.836
2013/7/18,2245.328
2013/7/19,2190.478
2013/7/22,2202.189
2013/7/23,2265.845
2013/7/24,2249.151
2013/7/25,2237.683
2013/7/26,2224.008
2013/7/29,2175.97
2013/7/30,2189.388
2013/7/31,2193.021
2013/8/1,2245.364
2013/8/2,2247.263
2013/8/5,2278.329
2013/8/6,2293.641
2013/8/7,2280.623
2013/8/8,2276.782
2013/8/9,2286.01
2013/8/12,2352.794
2013/8/13,2359.068
2013/8/14,2349.08
2013/8/15,2321.576
2013/8/16,2304.144
2013/8/19,2331.43
2013/8/20,2312.465
2013/8/21,2308.589
2013/8/22,2303.932
2013/8/23,2286.929
2013/8/26,2335.616
2013/8/27,2340.881
2013/8/28,2328.056
2013/8/29,2318.311
2013/8/30,2313.91
2013/9/2,2320.344
2013/9/3,2354.502
2013/9/4,2350.699
2013/9/5,2341.735
2013/9/6,2357.782
2013/9/9,2440.609
2013/9/10,2474.894
2013/9/11,2482.889
2013/9/12,2507.455
2013/9/13,2488.902
2013/9/16,2478.39
2013/9/17,2427.322
2013/9/18,2432.51
2013/9/23,2472.288
2013/9/24,2443.885
2013/9/25,2429.03
2013/9/26,2384.443
2013/9/27,2394.971
2013/9/30,2409.037
2013/10/8,2441.811
2013/10/9,2453.583
2013/10/10,2429.317
2013/10/11,2468.508
2013/10/14,2472.542
2013/10/15,2467.517
2013/10/16,2421.371
2013/10/17,2413.33
2013/10/18,2426.054
2013/10/21,2471.322
2013/10/22,2445.891
2013/10/23,2418.491
2013/10/24,2400.511
2013/10/25,2368.559
2013/10/28,2365.954
2013/10/29,2372.053
2013/10/30,2407.471
2013/10/31,2373.718
2013/11/1,2384.96
2013/11/4,2380.454
2013/11/5,2383.769
2013/11/6,2353.568
2013/11/7,2340.552
2013/11/8,2307.945
2013/11/11,2315.889
2013/11/12,2340
2013/11/13,2288.116
2013/11/14,2304.501
2013/11/15,2350.734
2013/11/18,2428.903
2013/11/19,2412.163
2013/11/20,2424.85
2013/11/21,2409.989
2013/11/22,2397.962
2013/11/25,2388.629
2013/11/26,2387.416
2013/11/27,2414.481
2013/11/28,2439.53
2013/11/29,2438.944
2013/12/2,2418.788
2013/12/3,2442.784
2013/12/4,2475.135
2013/12/5,2468.197
2013/12/6,2452.287
2013/12/9,2450.872
2013/12/10,2453.322
2013/12/11,2412.763
2013/12/12,2410.015
2013/12/13,2406.639
2013/12/16,2367.923
2013/12/17,2356.376
2013/12/18,2357.226
2013/12/19,2332.41
2013/12/20,2278.136
2013/12/23,2284.602
2013/12/24,2288.248
2013/12/25,2305.11
2013/12/26,2265.334
2013/12/27,2303.478
2013/12/30,2299.458
2013/12/31,2330.026
2014/1/2,2321.978
2014/1/3,2290.779
2014/1/6,2238.637
2014/1/7,2238.001
2014/1/8,2241.911
